,name,field,grade,url
236553,H그린파워㈜,생산관리·공정관리·품질관리,3,https://www.jobkorea.co.kr/starter/PassAssay/View/236553
236475,중앙일보㈜,그래픽디자인·CG,2,https://www.jobkorea.co.kr/starter/PassAssay/View/236475
236549,한국철도공사,사무·총무·법무,2,https://www.jobkorea.co.kr/starter/PassAssay/View/236549
236488,전남도시가스(주),화학·에너지·환경,3,https://www.jobkorea.co.kr/starter/PassAssay/View/236488
236554,한국남동발전(주),화학·에너지·환경,3,https://www.jobkorea.co.kr/starter/PassAssay/View/236554
236557,한국수자원공사,영업관리·지원·영업기획,2,https://www.jobkorea.co.kr/starter/PassAssay/View/236557
236561,기아(주),영업관리·지원·영업기획,2,https://www.jobkorea.co.kr/starter/PassAssay/View/236561
236564,NH농협은행,금융·보험영업,2,https://www.jobkorea.co.kr/starter/PassAssay/View/236564
236565,한국철도공사,사무·총무·법무,3,https://www.jobkorea.co.kr/starter/PassAssay/View/236565
236591,엘아이지넥스원(주),전기·전자·제어,2,https://www.jobkorea.co.kr/starter/PassAssay/View/236591
236601,(주)LG화학,생산관리·공정관리·품질관리,2,https://www.jobkorea.co.kr/starter/PassAssay/View/236601
236609,현대두산인프라코어,구매·자재,3,https://www.jobkorea.co.kr/starter/PassAssay/View/236609
236610,현대자동차㈜,시공·현장·감리·공무,3,https://www.jobkorea.co.kr/starter/PassAssay/View/236610
236645,한국서부발전(주),화학·에너지·환경,3,https://www.jobkorea.co.kr/starter/PassAssay/View/236645
236653,한국교육학술정보원,기획·전략·경영,2,https://www.jobkorea.co.kr/starter/PassAssay/View/236653
236661,(주)한국가스기술공사,설치·정비·A/S,2,https://www.jobkorea.co.kr/starter/PassAssay/View/236661
236308,서울특별시 서울의료원,사무·총무·법무,2,https://www.jobkorea.co.kr/starter/PassAssay/View/236308
236311,CJ프레시웨이㈜,인사·노무·교육,2,https://www.jobkorea.co.kr/starter/PassAssay/View/236311
236312,(주)오뚜기,바이오·제약·식품,2,https://www.jobkorea.co.kr/starter/PassAssay/View/236312
236318,삼화페인트공업(주),해외영업·무역영업,3,https://www.jobkorea.co.kr/starter/PassAssay/View/236318
236324,해성디에스㈜,생산관리·공정관리·품질관리,2,https://www.jobkorea.co.kr/starter/PassAssay/View/236324
236325,㈜아성 HMP,해외영업·무역영업,3,https://www.jobkorea.co.kr/starter/PassAssay/View/236325
236328,(주)LG화학,연구소·R&D,3,https://www.jobkorea.co.kr/starter/PassAssay/View/236328
236329,현대자동차㈜,연구소·R&D,3,https://www.jobkorea.co.kr/starter/PassAssay/View/236329
236337,한미약품(주),바이오·제약·식품,2,https://www.jobkorea.co.kr/starter/PassAssay/View/236337
236371,(주)슈피겐코리아,그래픽디자인·CG,2,https://www.jobkorea.co.kr/starter/PassAssay/View/236371
236372,(주)그린웹서비스,그래픽디자인·CG,2,https://www.jobkorea.co.kr/starter/PassAssay/View/236372
236345,일성신약,생산관리·공정관리·품질관리,2,https://www.jobkorea.co.kr/starter/PassAssay/View/236345
236347,현대건설(주),재무·세무·IR,3,https://www.jobkorea.co.kr/starter/PassAssay/View/236347
236349,(주)바이넥스,생산·제조·설비·조립,3,https://www.jobkorea.co.kr/starter/PassAssay/View/236349
236366,현대백화점,마케팅·광고·분석,2,https://www.jobkorea.co.kr/starter/PassAssay/View/236366
236373,(주)문화방송,그래픽디자인·CG,2,https://www.jobkorea.co.kr/starter/PassAssay/View/236373
240817,(주)문화방송,제품·산업디자인,2,https://www.jobkorea.co.kr/starter/PassAssay/View/240817
236382,LS,전기·전자·제어,3,https://www.jobkorea.co.kr/starter/PassAssay/View/236382
236383,현대자동차㈜,자동차·조선·기계,3,https://www.jobkorea.co.kr/starter/PassAssay/View/236383
236384,㈜원익아이피에스,반도체·디스플레이,3,https://www.jobkorea.co.kr/starter/PassAssay/View/236384
236406,스노우,그래픽디자인·CG,2,https://www.jobkorea.co.kr/starter/PassAssay/View/236406
236409,㈜BGF리테일,영업관리·지원·영업기획,2,https://www.jobkorea.co.kr/starter/PassAssay/View/236409
236420,(주)SIMPAC,재무·세무·IR,4,https://www.jobkorea.co.kr/starter/PassAssay/View/236420
236425,한국로지스풀,유통·물류·재고,3,https://www.jobkorea.co.kr/starter/PassAssay/View/236425
236426,㈜GC케어,기획·전략·경영,2,https://www.jobkorea.co.kr/starter/PassAssay/View/236426
236428,㈜동희산업,구매·자재,2,https://www.jobkorea.co.kr/starter/PassAssay/View/236428
236429,나이스에프앤아이(주),경영분석·컨설턴트,2,https://www.jobkorea.co.kr/starter/PassAssay/View/236429
236434,㈜티맥스소프트,QA·테스터·검증,2,https://www.jobkorea.co.kr/starter/PassAssay/View/236434
236435,현대엠엔소프트(주),QA·테스터·검증,4,https://www.jobkorea.co.kr/starter/PassAssay/View/236435
236440,㈜앤비젼,제품·서비스영업,2,https://www.jobkorea.co.kr/starter/PassAssay/View/236440
